source_file,source_feature_id,parcel_id,link_type
inputs/revenue.csv,REV-0083,P-083,revenue_to_parcel
inputs/revenue.csv,REV-0084,P-084,revenue_to_parcel
inputs/revenue.csv,REV-0085,P-085,revenue_to_parcel
inputs/revenue.csv,REV-0086,P-086,revenue_to_parcel
inputs/revenue.csv,REV-0087,P-087,revenue_to_parcel
inputs/revenue.csv,REV-0088,P-088,revenue_to_parcel
inputs/revenue.csv,REV-0089,P-089,revenue_to_parcel
inputs/revenue.csv,REV-0090,P-090,revenue_to_parcel
inputs/revenue.csv,REV-0091,P-091,revenue_to_parcel
inputs/revenue.csv,REV-0092,P-092,revenue_to_parcel
inputs/revenue.csv,REV-0093,P-093,revenue_to_parcel
inputs/revenue.csv,REV-0094,P-094,revenue_to_parcel
inputs/revenue.csv,REV-0095,P-095,revenue_to_parcel
inputs/revenue.csv,REV-0096,P-096,revenue_to_parcel
inputs/revenue.csv,REV-0097,P-097,revenue_to_parcel
inputs/revenue.csv,REV-0098,P-098,revenue_to_parcel
inputs/revenue.csv,REV-0099,P-099,revenue_to_parcel
inputs/revenue.csv,REV-0100,P-100,revenue_to_parcel
inputs/revenue.csv,REV-0101,P-013,revenue_to_parcel
inputs/revenue.csv,REV-0102,P-028,revenue_to_parcel
inputs/revenue.csv,REV-0103,P-048,revenue_to_parcel
inputs/revenue.csv,REV-0104,P-030,revenue_to_parcel
inputs/municipal.csv,MUN-0001,P-001,municipal_to_parcel
inputs/municipal.csv,MUN-0002,P-002,municipal_to_parcel
inputs/municipal.csv,MUN-0003,P-003,municipal_to_parcel
inputs/municipal.csv,MUN-0004,P-004,municipal_to_parcel
inputs/municipal.csv,MUN-0005,P-005,municipal_to_parcel
inputs/municipal.csv,MUN-0006,P-007,municipal_to_parcel
inputs/municipal.csv,MUN-0007,P-008,municipal_to_parcel
inputs/municipal.csv,MUN-0008,P-009,municipal_to_parcel
inputs/municipal.csv,MUN-0009,P-010,municipal_to_parcel
inputs/municipal.csv,MUN-0010,P-011,municipal_to_parcel
inputs/municipal.csv,MUN-0011,P-012,municipal_to_parcel
inputs/municipal.csv,MUN-0012,P-013,municipal_to_parcel
inputs/municipal.csv,MUN-0013,P-014,municipal_to_parcel
inputs/municipal.csv,MUN-0014,P-015,municipal_to_parcel
inputs/municipal.csv,MUN-0015,P-016,municipal_to_parcel
inputs/municipal.csv,MUN-0016,P-017,municipal_to_parcel
inputs/municipal.csv,MUN-0017,P-018,municipal_to_parcel
inputs/municipal.csv,MUN-0018,P-019,municipal_to_parcel
inputs/municipal.csv,MUN-0019,P-020,municipal_to_parcel
inputs/municipal.csv,MUN-0020,P-021,municipal_to_parcel
inputs/municipal.csv,MUN-0021,P-022,municipal_to_parcel
inputs/municipal.csv,MUN-0022,P-023,municipal_to_parcel
inputs/municipal.csv,MUN-0023,P-024,municipal_to_parcel
inputs/municipal.csv,MUN-0024,P-025,municipal_to_parcel
inputs/municipal.csv,MUN-0025,P-026,municipal_to_parcel
inputs/municipal.csv,MUN-0026,P-027,municipal_to_parcel
inputs/municipal.csv,MUN-0027,P-028,municipal_to_parcel
inputs/municipal.csv,MUN-0028,P-029,municipal_to_parcel
inputs/municipal.csv,MUN-0029,P-030,municipal_to_parcel
inputs/municipal.csv,MUN-0030,P-031,municipal_to_parcel
inputs/municipal.csv,MUN-0031,P-032,municipal_to_parcel
inputs/municipal.csv,MUN-0032,P-033,municipal_to_parcel
inputs/municipal.csv,MUN-0033,P-034,municipal_to_parcel
inputs/municipal.csv,MUN-0034,P-035,municipal_to_parcel
inputs/municipal.csv,MUN-0035,P-036,municipal_to_parcel
inputs/municipal.csv,MUN-0036,P-037,municipal_to_parcel
inputs/municipal.csv,MUN-0037,P-038,municipal_to_parcel
inputs/municipal.csv,MUN-0038,P-039,municipal_to_parcel
inputs/municipal.csv,MUN-0039,P-040,municipal_to_parcel
inputs/municipal.csv,MUN-0040,P-041,municipal_to_parcel
inputs/municipal.csv,MUN-0041,P-042,municipal_to_parcel
inputs/municipal.csv,MUN-0042,P-043,municipal_to_parcel
inputs/municipal.csv,MUN-0043,P-045,municipal_to_parcel
inputs/municipal.csv,MUN-0044,P-046,municipal_to_parcel
inputs/municipal.csv,MUN-0045,P-047,municipal_to_parcel
inputs/municipal.csv,MUN-0046,P-048,municipal_to_parcel
inputs/municipal.csv,MUN-0047,P-049,municipal_to_parcel
inputs/municipal.csv,MUN-0048,P-050,municipal_to_parcel
inputs/municipal.csv,MUN-0049,P-051,municipal_to_parcel
inputs/municipal.csv,MUN-0050,P-052,municipal_to_parcel
inputs/municipal.csv,MUN-0051,P-053,municipal_to_parcel
inputs/municipal.csv,MUN-0052,P-054,municipal_to_parcel
inputs/municipal.csv,MUN-0053,P-055,municipal_to_parcel
inputs/municipal.csv,MUN-0054,P-056,municipal_to_parcel
inputs/municipal.csv,MUN-0055,P-058,municipal_to_parcel
inputs/municipal.csv,MUN-0056,P-059,municipal_to_parcel
inputs/municipal.csv,MUN-0057,P-060,municipal_to_parcel
inputs/municipal.csv,MUN-0058,P-062,municipal_to_parcel
inputs/municipal.csv,MUN-0059,P-063,municipal_to_parcel
inputs/municipal.csv,MUN-0060,P-064,municipal_to_parcel
inputs/municipal.csv,MUN-0061,P-066,municipal_to_parcel
inputs/municipal.csv,MUN-0062,P-067,municipal_to_parcel
inputs/municipal.csv,MUN-0063,P-068,municipal_to_parcel
inputs/municipal.csv,MUN-0064,P-070,municipal_to_parcel
inputs/municipal.csv,MUN-0065,P-072,municipal_to_parcel
inputs/municipal.csv,MUN-0066,P-073,municipal_to_parcel
inputs/municipal.csv,MUN-0067,P-074,municipal_to_parcel
inputs/municipal.csv,MUN-0068,P-075,municipal_to_parcel
inputs/municipal.csv,MUN-0069,P-076,municipal_to_parcel
inputs/municipal.csv,MUN-0070,P-078,municipal_to_parcel
inputs/municipal.csv,MUN-0071,P-079,municipal_to_parcel
inputs/municipal.csv,MUN-0072,P-080,municipal_to_parcel
inputs/municipal.csv,MUN-0073,P-081,municipal_to_parcel
inputs/municipal.csv,MUN-0074,P-082,municipal_to_parcel
inputs/municipal.csv,MUN-0075,P-084,municipal_to_parcel
inputs/municipal.csv,MUN-0076,P-085,municipal_to_parcel
inputs/municipal.csv,MUN-0077,P-086,municipal_to_parcel
inputs/municipal.csv,MUN-0078,P-087,municipal_to_parcel
inputs/municipal.csv,MUN-0079,P-088,municipal_to_parcel
inputs/municipal.csv,MUN-0080,P-089,municipal_to_parcel
inputs/municipal.csv,MUN-0081,P-090,municipal_to_parcel
inputs/municipal.csv,MUN-0082,P-091,municipal_to_parcel
inputs/municipal.csv,MUN-0083,P-092,municipal_to_parcel
inputs/municipal.csv,MUN-0084,P-094,municipal_to_parcel
inputs/municipal.csv,MUN-0085,P-095,municipal_to_parcel
inputs/municipal.csv,MUN-0086,P-096,municipal_to_parcel
inputs/municipal.csv,MUN-0087,P-097,municipal_to_parcel
inputs/municipal.csv,MUN-0088,P-098,municipal_to_parcel
inputs/municipal.csv,MUN-0089,P-099,municipal_to_parcel
inputs/municipal.csv,MUN-0090,P-100,municipal_to_parcel
