parcel_id,building_id,overlap_fraction,intersection_area_sqm,distance_m,relationship_type
SYN-P0017,MS-123301331-33016,0.996947,377.1038,0.0,partial_overlap
SYN-P0017,MS-123301331-474400,0.0,0.0,1.125,adjacent_no_overlap
SYN-P0017,MS-123301331-499630,0.0,0.0,1.148,adjacent_no_overlap
SYN-P0018,MS-123301331-147156,0.069052,10.8005,0.0,crosses_boundary
SYN-P0018,MS-123301331-172954,7.2e-05,0.0383,0.0,partial_overlap
SYN-P0018,MS-123301331-26826,0.0,0.0,3.161,adjacent_no_overlap
SYN-P0018,MS-123301331-313586,0.979358,178.2978,0.0,crosses_boundary
SYN-P0018,MS-123301331-33022,0.765191,498.6355,0.0,partial_overlap
SYN-P0018,MS-123301331-351416,0.0,0.0,7.472,adjacent_no_overlap
SYN-P0018,MS-123301331-367530,0.0,0.0,5.478,adjacent_no_overlap
SYN-P0018,MS-123301331-443057,0.0,0.0,6.483,adjacent_no_overlap
SYN-P0018,MS-123301331-474401,0.016197,29.0611,0.0,crosses_boundary
SYN-P0019,MS-123301331-228445,0.0,0.0,1.159,adjacent_no_overlap
SYN-P0019,MS-123301331-23269,0.0,0.0,1.583,adjacent_no_overlap
SYN-P0019,MS-123301331-33064,0.988192,423.4422,0.0,partial_overlap
SYN-P0019,MS-123301331-392668,0.0,0.0,5.445,adjacent_no_overlap
SYN-P0019,MS-123301331-480779,0.0,0.0,9.284,adjacent_no_overlap
SYN-P0019,MS-123301331-587430,0.446108,247.5957,0.0,crosses_boundary
SYN-P0020,MS-123301331-228445,0.00046,0.6955,0.0,partial_overlap
SYN-P0020,MS-123301331-23269,0.0,0.0,7.541,adjacent_no_overlap
SYN-P0020,MS-123301331-33068,0.936294,807.237,0.0,crosses_boundary
SYN-P0020,MS-123301331-376901,0.0,0.0,6.908,adjacent_no_overlap
SYN-P0020,MS-123301331-627486,0.0,0.0,5.231,adjacent_no_overlap
SYN-P0021,MS-123301331-134076,0.0,0.0,6.182,adjacent_no_overlap
SYN-P0021,MS-123301331-173045,0.004698,6.3478,0.0,crosses_boundary
SYN-P0021,MS-123301331-248135,0.985855,31.7708,0.0,partial_overlap
SYN-P0021,MS-123301331-35949,0.940598,146.7103,0.0,partial_overlap
SYN-P0021,MS-123301331-412109,0.793954,222.4523,0.0,crosses_boundary
SYN-P0021,MS-123301331-496590,0.104828,69.0327,0.0,partial_overlap
SYN-P0021,MS-123301331-596224,0.217222,116.8322,0.0,crosses_boundary
SYN-P0022,MS-123301331-103223,0.0,0.0,9.426,adjacent_no_overlap
SYN-P0022,MS-123301331-134000,0.0,0.0,1.828,adjacent_no_overlap
SYN-P0022,MS-123301331-273327,0.0,0.0,4.423,adjacent_no_overlap
SYN-P0022,MS-123301331-348201,0.0,0.0,6.057,adjacent_no_overlap
SYN-P0022,MS-123301331-39592,0.819278,589.3389,0.0,crosses_boundary
SYN-P0022,MS-123301331-544190,0.001846,0.4492,0.0,partial_overlap
SYN-P0022,MS-123301331-581200,0.0,0.0,9.211,adjacent_no_overlap
SYN-P0022,MS-123301331-602655,0.0,0.0,5.549,adjacent_no_overlap
SYN-P0022,MS-123301331-618552,0.068392,36.2257,0.0,crosses_boundary
SYN-P0023,MS-123301331-128437,0.0,0.0,4.038,adjacent_no_overlap
SYN-P0023,MS-123301331-154079,0.0,0.0,2.216,adjacent_no_overlap
SYN-P0023,MS-123301331-198547,0.366184,13.4408,0.0,crosses_boundary
SYN-P0023,MS-123301331-310292,0.0,0.0,9.872,adjacent_no_overlap
SYN-P0023,MS-123301331-338879,1.0,47.5402,0.0,within_parcel
SYN-P0023,MS-123301331-41963,0.985328,181.9789,0.0,crosses_boundary
SYN-P0023,MS-123301331-483987,0.0,0.0,2.184,adjacent_no_overlap
SYN-P0023,MS-123301331-509370,0.077826,69.0444,0.0,crosses_boundary
SYN-P0024,MS-123301331-215469,0.0,0.0,4.302,adjacent_no_overlap
SYN-P0024,MS-123301331-228441,0.0,0.0,7.12,adjacent_no_overlap
SYN-P0024,MS-123301331-279998,0.0,0.0,5.768,adjacent_no_overlap
SYN-P0024,MS-123301331-41977,0.932522,616.0482,0.0,crosses_boundary
SYN-P0024,MS-123301331-446355,0.0,0.0,3.643,adjacent_no_overlap
SYN-P0024,MS-123301331-462333,0.0,0.0,1.246,adjacent_no_overlap
SYN-P0024,MS-123301331-58204,0.0,0.0,9.741,adjacent_no_overlap
SYN-P0024,MS-123301331-584392,0.0,0.0,4.147,adjacent_no_overlap
SYN-P0025,MS-123301331-41983,0.905072,6968.9012,0.0,crosses_boundary
SYN-P0025,MS-123301331-90375,0.881278,57.3593,0.0,partial_overlap
SYN-P0026,MS-123301331-191424,0.0,0.0,3.564,adjacent_no_overlap
SYN-P0026,MS-123301331-248045,0.0,0.0,4.17,adjacent_no_overlap
SYN-P0026,MS-123301331-26828,0.061592,35.2495,0.0,crosses_boundary
SYN-P0026,MS-123301331-402394,0.02358,7.556,0.0,crosses_boundary
SYN-P0026,MS-123301331-45742,0.997292,284.6039,0.0,partial_overlap
SYN-P0026,MS-123301331-537840,0.0,0.0,4.12,adjacent_no_overlap
SYN-P0026,MS-123301331-571627,0.0,0.0,2.379,adjacent_no_overlap
SYN-P0027,MS-123301331-115588,0.0,0.0,6.987,adjacent_no_overlap
SYN-P0027,MS-123301331-153502,0.004072,1.8978,0.0,crosses_boundary
SYN-P0027,MS-123301331-204343,0.0,0.0,0.0,partial_overlap
SYN-P0027,MS-123301331-279998,0.051636,47.9422,0.0,crosses_boundary
SYN-P0027,MS-123301331-462334,0.0,0.0,1.397,adjacent_no_overlap
SYN-P0027,MS-123301331-47653,0.670188,224.0822,0.0,crosses_boundary
SYN-P0027,MS-123301331-77134,0.0,0.0,3.914,adjacent_no_overlap
SYN-P0028,MS-123301331-51303,0.375817,17.0733,0.0,partial_overlap
SYN-P0028,MS-123301331-587445,0.097538,10.8833,0.0,crosses_boundary
SYN-P0029,MS-123301331-197822,0.0,0.0,9.873,adjacent_no_overlap
SYN-P0029,MS-123301331-367522,0.167683,187.3637,0.0,crosses_boundary
SYN-P0029,MS-123301331-52082,0.705219,430.5845,0.0,crosses_boundary
SYN-P0029,MS-123301331-571624,0.064825,106.7991,0.0,crosses_boundary
SYN-P0029,MS-123301331-590264,0.0,0.0,8.14,adjacent_no_overlap
SYN-P0029,MS-123301331-796,0.0,0.0,1.999,adjacent_no_overlap
SYN-P0030,MS-123301331-248099,0.167219,94.7155,0.0,crosses_boundary
SYN-P0030,MS-123301331-329476,0.166465,54.9332,0.0,crosses_boundary
SYN-P0030,MS-123301331-496570,0.65872,107.9207,0.0,crosses_boundary
SYN-P0030,MS-123301331-52148,0.731228,246.9047,0.0,crosses_boundary
SYN-P0030,MS-123301331-522140,0.0,0.0,2.469,adjacent_no_overlap
SYN-P0030,MS-123301331-561862,0.0,0.0,8.621,adjacent_no_overlap
SYN-P0030,MS-123301331-96983,0.232388,31.2462,0.0,crosses_boundary
SYN-P0031,MS-123301331-465345,0.0,0.0,1.524,adjacent_no_overlap
SYN-P0031,MS-123301331-471237,0.730697,14.5687,0.0,crosses_boundary
SYN-P0031,MS-123301331-52172,0.992006,94.9306,0.0,partial_overlap
SYN-P0031,MS-123301331-550663,0.0,0.0,8.512,adjacent_no_overlap
SYN-P0031,MS-123301331-58246,0.030137,11.7982,0.0,crosses_boundary
SYN-P0032,MS-123301331-128437,0.085704,154.7902,0.0,crosses_boundary
SYN-P0032,MS-123301331-26828,2.9e-05,0.0164,0.0,partial_overlap
SYN-P0032,MS-123301331-483987,0.0,0.0,4.26,adjacent_no_overlap
SYN-P0032,MS-123301331-571627,0.015602,8.6361,0.0,crosses_boundary
SYN-P0032,MS-123301331-57919,0.688554,356.1116,0.0,crosses_boundary
SYN-P0033,MS-123301331-197808,0.0,0.0,3.946,adjacent_no_overlap
SYN-P0033,MS-123301331-33010,0.0,0.0,2.638,adjacent_no_overlap
SYN-P0033,MS-123301331-386224,0.0,0.0,6.129,adjacent_no_overlap
SYN-P0033,MS-123301331-541033,0.0,0.0,6.579,adjacent_no_overlap
SYN-P0033,MS-123301331-58174,0.674502,769.6958,0.0,crosses_boundary
SYN-P0033,MS-123301331-590264,0.009931,5.8431,0.0,crosses_boundary
SYN-P0034,MS-123301331-141465,0.0,0.0,2.346,adjacent_no_overlap
SYN-P0034,MS-123301331-198575,0.0,0.0,0.828,adjacent_no_overlap
SYN-P0034,MS-123301331-228441,0.0,0.0,7.008,adjacent_no_overlap
SYN-P0034,MS-123301331-228445,0.0,0.0,6.442,adjacent_no_overlap
SYN-P0034,MS-123301331-446355,0.089462,36.0807,0.0,crosses_boundary
SYN-P0034,MS-123301331-58204,0.845859,240.1442,0.0,crosses_boundary
SYN-P0035,MS-123301331-128469,0.0,0.0,1.699,adjacent_no_overlap
SYN-P0035,MS-123301331-480791,0.0,0.0,8.361,adjacent_no_overlap
SYN-P0035,MS-123301331-541059,0.180493,52.0142,0.0,crosses_boundary
SYN-P0035,MS-123301331-58214,0.978056,111.6147,0.0,crosses_boundary
SYN-P0035,MS-123301331-584403,0.090598,20.9389,0.0,crosses_boundary
SYN-P0035,MS-123301331-83672,1.0,69.3607,0.0,within_parcel
SYN-P0035,MS-123301331-90403,0.0,0.0,5.692,adjacent_no_overlap
SYN-P0035,MS-123301331-96973,0.0,0.0,2.745,adjacent_no_overlap
SYN-P0036,MS-123301331-221935,0.254116,140.6389,0.0,crosses_boundary
SYN-P0036,MS-123301331-389485,0.0,0.0,1.527,adjacent_no_overlap
SYN-P0036,MS-123301331-392693,0.020393,30.9544,0.0,crosses_boundary
SYN-P0036,MS-123301331-440090,0.0,0.0,8.391,adjacent_no_overlap
SYN-P0036,MS-123301331-581241,0.009865,1.8063,0.0,crosses_boundary
SYN-P0036,MS-123301331-64178,0.998651,245.3945,0.0,partial_overlap
SYN-P0037,MS-123301331-10301,0.0,0.0,0.678,adjacent_no_overlap
SYN-P0037,MS-123301331-197938,0.035313,165.6244,0.0,crosses_boundary
SYN-P0037,MS-123301331-254564,0.128491,49.6508,0.0,crosses_boundary
SYN-P0037,MS-123301331-440106,0.026239,122.8918,0.0,crosses_boundary
SYN-P0037,MS-123301331-627520,0.0,0.0,9.338,adjacent_no_overlap
SYN-P0037,MS-123301331-64206,1.0,171.3587,0.0,within_parcel
SYN-P0038,MS-123301331-172994,0.875951,373.5532,0.0,crosses_boundary
SYN-P0038,MS-123301331-285357,0.001218,1.31,0.0,partial_overlap
SYN-P0038,MS-123301331-399226,0.0,0.0,1.683,adjacent_no_overlap
SYN-P0038,MS-123301331-42001,0.0,0.0,5.409,adjacent_no_overlap
SYN-P0038,MS-123301331-446364,0.242829,43.0015,0.0,crosses_boundary
SYN-P0038,MS-123301331-64415,1.0,322.7314,0.0,within_parcel
SYN-P0039,MS-123301331-279781,0.0,0.0,5.481,adjacent_no_overlap
SYN-P0039,MS-123301331-298186,0.044412,317.9573,0.0,crosses_boundary
SYN-P0039,MS-123301331-427668,0.048043,46.7666,0.0,crosses_boundary
SYN-P0039,MS-123301331-64475,1.0,241.8419,0.0,within_parcel
SYN-P0040,MS-123301331-128425,0.0,0.0,2.233,adjacent_no_overlap
SYN-P0040,MS-123301331-242546,1.0,163.8146,0.0,within_parcel
SYN-P0040,MS-123301331-39568,0.081691,60.8168,0.0,crosses_boundary
SYN-P0040,MS-123301331-443044,0.0,0.0,7.22,adjacent_no_overlap
SYN-P0040,MS-123301331-474401,0.0,0.0,9.859,adjacent_no_overlap
SYN-P0040,MS-123301331-496534,0.0,0.0,9.453,adjacent_no_overlap
SYN-P0040,MS-123301331-502885,0.999997,486.0813,0.0,within_parcel
SYN-P0040,MS-123301331-70694,1.0,310.0403,0.0,within_parcel
SYN-P0040,MS-123301331-83695,0.000873,0.8702,0.0,partial_overlap
SYN-P0041,MS-123301331-153502,0.063537,29.6109,0.0,crosses_boundary
SYN-P0041,MS-123301331-197856,0.054843,76.5348,0.0,crosses_boundary
SYN-P0041,MS-123301331-33058,0.0,0.0,7.278,adjacent_no_overlap
SYN-P0041,MS-123301331-462334,0.0,0.0,1.939,adjacent_no_overlap
SYN-P0041,MS-123301331-47653,3.8e-05,0.0128,0.0,partial_overlap
SYN-P0041,MS-123301331-77134,1.0,132.5946,0.0,crosses_boundary
SYN-P0042,MS-123301331-102972,0.0,0.0,6.65,adjacent_no_overlap
SYN-P0042,MS-123301331-127474,0.497015,118.8574,0.0,crosses_boundary
SYN-P0042,MS-123301331-351470,0.0,0.0,8.009,adjacent_no_overlap
SYN-P0042,MS-123301331-571681,0.043874,28.1217,0.0,crosses_boundary
SYN-P0042,MS-123301331-7304,0.0,0.0,9.649,adjacent_no_overlap
SYN-P0042,MS-123301331-77232,1.0,253.0934,0.0,within_parcel
SYN-P0043,MS-123301331-179817,0.149101,18.5526,0.0,partial_overlap
SYN-P0043,MS-123301331-41937,0.0,0.0,8.394,adjacent_no_overlap
SYN-P0043,MS-123301331-430574,0.0,0.0,0.156,adjacent_no_overlap
SYN-P0043,MS-123301331-528295,0.0,0.0,9.068,adjacent_no_overlap
SYN-P0043,MS-123301331-77259,0.88585,258.6746,0.0,partial_overlap
SYN-P0043,MS-123301331-90325,0.000818,0.6812,0.0,partial_overlap
SYN-P0044,MS-123301331-279781,0.0,0.0,8.719,adjacent_no_overlap
SYN-P0044,MS-123301331-298186,0.183204,1311.618,0.0,crosses_boundary
SYN-P0044,MS-123301331-427668,0.0,0.0,3.395,adjacent_no_overlap
SYN-P0044,MS-123301331-502951,0.05654,73.7597,0.0,crosses_boundary
SYN-P0044,MS-123301331-537888,0.296072,575.1902,0.0,crosses_boundary
SYN-P0044,MS-123301331-77377,0.972009,360.6542,0.0,crosses_boundary
SYN-P0045,MS-123301331-361154,0.0,0.0,5.099,adjacent_no_overlap
SYN-P0045,MS-123301331-499630,0.279259,544.097,0.0,crosses_boundary
SYN-P0045,MS-123301331-621518,0.0,0.0,9.078,adjacent_no_overlap
SYN-P0045,MS-123301331-83600,1.0,232.617,0.0,within_parcel
SYN-P0045,MS-123301331-83604,0.0,0.0,7.35,adjacent_no_overlap
SYN-P0046,MS-123301331-361154,0.0,0.0,5.68,adjacent_no_overlap
SYN-P0046,MS-123301331-499630,0.00589,11.4752,0.0,crosses_boundary
SYN-P0046,MS-123301331-621518,0.77841,383.8006,0.0,crosses_boundary
SYN-P0046,MS-123301331-83600,0.0,0.0,9.849,adjacent_no_overlap
SYN-P0046,MS-123301331-83604,1.0,250.0688,0.0,within_parcel
SYN-P0047,MS-123301331-109239,0.133854,5.3972,0.0,crosses_boundary
SYN-P0047,MS-123301331-109245,0.0,0.0,7.316,adjacent_no_overlap
SYN-P0047,MS-123301331-147216,0.028026,9.4745,0.0,crosses_boundary
SYN-P0047,MS-123301331-166628,0.0,0.0,6.443,adjacent_no_overlap
SYN-P0047,MS-123301331-204370,0.0,0.0,6.455,adjacent_no_overlap
SYN-P0047,MS-123301331-217128,0.0,0.0,5.44,adjacent_no_overlap
SYN-P0047,MS-123301331-348217,0.0,0.0,2.263,adjacent_no_overlap
SYN-P0047,MS-123301331-565167,0.0,0.0,2.794,adjacent_no_overlap
SYN-P0047,MS-123301331-83682,1.0,63.956,0.0,within_parcel
SYN-P0048,MS-123301331-241461,0.0,0.0,8.536,adjacent_no_overlap
SYN-P0048,MS-123301331-242546,0.0,0.0,6.052,adjacent_no_overlap
SYN-P0048,MS-123301331-39568,0.0,0.0,4.059,adjacent_no_overlap
SYN-P0048,MS-123301331-443044,0.0,0.0,0.291,adjacent_no_overlap
SYN-P0048,MS-123301331-496534,0.400476,239.5266,0.0,crosses_boundary
SYN-P0048,MS-123301331-83695,0.842972,840.7063,0.0,crosses_boundary
SYN-P0049,MS-123301331-261229,0.0,0.0,9.92,adjacent_no_overlap
SYN-P0049,MS-123301331-267311,0.0,0.0,8.398,adjacent_no_overlap
SYN-P0049,MS-123301331-273393,0.185095,34.0145,0.0,crosses_boundary
SYN-P0049,MS-123301331-285369,0.0,0.0,2.661,adjacent_no_overlap
SYN-P0049,MS-123301331-392693,0.0,0.0,3.416,adjacent_no_overlap
SYN-P0049,MS-123301331-559702,0.023753,4.4227,0.0,crosses_boundary
SYN-P0049,MS-123301331-83712,1.0,173.7284,0.0,within_parcel
SYN-P0050,MS-123301331-236368,0.0,0.0,6.016,adjacent_no_overlap
SYN-P0050,MS-123301331-547495,0.02346,4.4892,0.0,crosses_boundary
SYN-P0050,MS-123301331-90403,1.0,403.5351,0.0,crosses_boundary
SYN-P0050,MS-123301331-96973,0.010119,5.2971,0.0,crosses_boundary
SYN-P0051,MS-123301331-186025,0.0,0.0,8.236,adjacent_no_overlap
SYN-P0051,MS-123301331-191536,0.597693,1084.2901,0.0,crosses_boundary
SYN-P0051,MS-123301331-35959,0.0,0.0,7.706,adjacent_no_overlap
SYN-P0051,MS-123301331-395986,0.415097,241.4646,0.0,crosses_boundary
SYN-P0051,MS-123301331-581252,0.0,0.0,9.686,adjacent_no_overlap
SYN-P0051,MS-123301331-90473,1.0,458.9484,0.0,crosses_boundary
SYN-P0052,MS-123301331-443105,0.012267,105.3506,0.0,crosses_boundary
SYN-P0052,MS-123301331-568428,0.094549,47.3508,0.0,crosses_boundary
SYN-P0052,MS-123301331-581245,0.182387,148.4296,0.0,crosses_boundary
SYN-P0052,MS-123301331-96508,1.0,170.3273,0.0,within_parcel
SYN-P0053,MS-123301331-147200,0.0,0.0,9.905,adjacent_no_overlap
SYN-P0053,MS-123301331-279729,0.0,0.0,5.966,adjacent_no_overlap
SYN-P0053,MS-123301331-541059,0.0,0.0,9.804,adjacent_no_overlap
SYN-P0053,MS-123301331-547495,0.0,0.0,6.74,adjacent_no_overlap
SYN-P0053,MS-123301331-565159,0.187017,17.306,0.0,crosses_boundary
SYN-P0053,MS-123301331-58214,0.0,0.0,9.189,adjacent_no_overlap
SYN-P0053,MS-123301331-83672,0.0,0.0,4.343,adjacent_no_overlap
SYN-P0053,MS-123301331-90403,0.0,0.0,4.74,adjacent_no_overlap
SYN-P0053,MS-123301331-96973,0.929007,486.3142,0.0,crosses_boundary
SYN-P0054,MS-123301331-102890,0.853594,1031.4716,0.0,crosses_boundary
SYN-P0054,MS-123301331-128437,0.001612,2.9113,0.0,crosses_boundary
SYN-P0054,MS-123301331-153484,0.0,0.0,9.555,adjacent_no_overlap
SYN-P0054,MS-123301331-499640,0.370771,93.288,0.0,crosses_boundary
SYN-P0055,MS-123301331-102902,0.709934,162.1436,0.0,crosses_boundary
SYN-P0055,MS-123301331-140600,0.464767,160.4584,0.0,partial_overlap
SYN-P0055,MS-123301331-215485,0.0,0.0,8.877,adjacent_no_overlap
SYN-P0055,MS-123301331-307414,0.0,0.0,3.575,adjacent_no_overlap
SYN-P0055,MS-123301331-354663,0.0,0.0,6.291,adjacent_no_overlap
SYN-P0055,MS-123301331-483999,0.0,0.0,1.814,adjacent_no_overlap
SYN-P0055,MS-123301331-490264,0.34575,141.6139,0.0,crosses_boundary
SYN-P0055,MS-123301331-512628,0.323397,366.8086,0.0,crosses_boundary
SYN-P0056,MS-123301331-102972,0.987878,237.2116,0.0,crosses_boundary
SYN-P0056,MS-123301331-127474,0.025584,6.1183,0.0,crosses_boundary
SYN-P0056,MS-123301331-351470,0.001556,0.3805,0.0,partial_overlap
SYN-P0056,MS-123301331-440101,0.008897,1.7943,0.0,crosses_boundary
SYN-P0056,MS-123301331-571681,0.047826,30.6548,0.0,crosses_boundary
SYN-P0056,MS-123301331-77232,0.0,0.0,5.905,adjacent_no_overlap
SYN-P0057,MS-123301331-103223,0.691159,342.5236,0.0,crosses_boundary
SYN-P0057,MS-123301331-370516,0.168471,419.3809,0.0,crosses_boundary
SYN-P0057,MS-123301331-39592,0.000244,0.1752,0.0,partial_overlap
SYN-P0057,MS-123301331-544190,0.00427,1.0392,0.0,crosses_boundary
SYN-P0057,MS-123301331-581200,0.0,0.0,5.882,adjacent_no_overlap
SYN-P0057,MS-123301331-618552,0.0,0.0,7.801,adjacent_no_overlap
SYN-P0058,MS-123301331-103247,0.962982,445.8697,0.0,partial_overlap
SYN-P0058,MS-123301331-23269,0.0,0.0,8.171,adjacent_no_overlap
SYN-P0058,MS-123301331-405632,0.0,0.0,7.72,adjacent_no_overlap
SYN-P0058,MS-123301331-412089,0.105826,93.7376,0.0,crosses_boundary
SYN-P0058,MS-123301331-440069,0.0,0.0,1.343,adjacent_no_overlap
SYN-P0058,MS-123301331-590285,0.0,0.0,4.816,adjacent_no_overlap
